  100    4950
    1       2      58
    1       3      36
    1       4       6
    1       5      79
    1       6      24
    1       7      44
    1       8      70
    1       9      33
    1      10      81
    1      11      40
    1      12      79
    1      13      50
    1      14      89
    1      15      90
    1      16      46
    1      17      91
    1      18      53
    1      19      39
    1      20      74
    1      21      92
    1      22      85
    1      23      86
    1      24      82
    1      25      60
    1      26      16
    1      27      79
    1      28       9
    1      29      45
    1      30      71
    1      31      97
    1      32      36
    1      33      17
    1      34      20
    1      35       8
    1      36      79
    1      37      29
    1      38      94
    1      39      38
    1      40       1
    1      41      92
    1      42       8
    1      43      66
    1      44      72
    1      45      39
    1      46      17
    1      47      34
    1      48      24
    1      49      39
    1      50      32
    1      51      56
    1      52      60
    1      53      81
    1      54      55
    1      55       5
    1      56      95
    1      57       1
    1      58      36
    1      59      62
    1      60      37
    1      61      81
    1      62      89
    1      63      91
    1      64      98
    1      65      57
    1      66      68
    1      67      96
    1      68      19
    1      69     100
    1      70      96
    1      71       7
    1      72      97
    1      73      39
    1      74      59
    1      75      60
    1      76      57
    1      77      93
    1      78      91
    1      79      88
    1      80      72
    1      81      69
    1      82     100
    1      83      61
    1      84      59
    1      85      26
    1      86      39
    1      87      99
    1      88      65
    1      89      73
    1      90      47
    1      91      15
    1      92      64
    1      93      30
    1      94      70
    1      95      63
    1      96      47
    1      97      25
    1      98      66
    1      99      34
    1     100      75
    2       3      13
    2       4       8
    2       5      33
    2       6      72
    2       7      68
    2       8      60
    2       9      93
    2      10      85
    2      11       5
    2      12      99
    2      13      98
    2      14      73
    2      15       3
    2      16      93
    2      17      63
    2      18      43
    2      19      54
    2      20      84
    2      21      23
    2      22      81
    2      23      75
    2      24      46
    2      25      29
    2      26      91
    2      27      31
    2      28      51
    2      29      79
    2      30      19
    2      31       3
    2      32       1
    2      33       6
    2      34      84
    2      35      44
    2      36      21
    2      37      86
    2      38      43
    2      39      91
    2      40      25
    2      41      59
    2      42      29
    2      43      45
    2      44      51
    2      45      59
    2      46       4
    2      47       7
    2      48      56
    2      49      44
    2      50      46
    2      51      25
    2      52      94
    2      53       9
    2      54      66
    2      55      57
    2      56      52
    2      57      10
    2      58      33
    2      59      73
    2      60      76
    2      61      25
    2      62      43
    2      63      23
    2      64      91
    2      65      97
    2      66      41
    2      67      24
    2      68      18
    2      69      64
    2      70      75
    2      71      78
    2      72      96
    2      73      14
    2      74      88
    2      75      88
    2      76      69
    2      77      87
    2      78      67
    2      79       5
    2      80      77
    2      81      53
    2      82      54
    2      83      43
    2      84      77
    2      85      51
    2      86      20
    2      87      52
    2      88      74
    2      89      64
    2      90      50
    2      91     100
    2      92      43
    2      93      99
    2      94      22
    2      95      44
    2      96      18
    2      97      37
    2      98      91
    2      99      85
    2     100       6
    3       4      40
    3       5       4
    3       6       4
    3       7      30
    3       8       3
    3       9      82
    3      10      74
    3      11      79
    3      12      93
    3      13      41
    3      14      15
    3      15      49
    3      16      34
    3      17      93
    3      18       6
    3      19      24
    3      20      87
    3      21      89
    3      22      43
    3      23      94
    3      24      38
    3      25      12
    3      26      44
    3      27      85
    3      28      12
    3      29      51
    3      30      86
    3      31      54
    3      32      84
    3      33      44
    3      34      95
    3      35      94
    3      36      20
    3      37      90
    3      38      62
    3      39      79
    3      40       5
    3      41      34
    3      42      33
    3      43      10
    3      44      79
    3      45      35
    3      46      34
    3      47      16
    3      48      54
    3      49      51
    3      50      61
    3      51      11
    3      52      26
    3      53      10
    3      54      58
    3      55      56
    3      56      72
    3      57       1
    3      58      73
    3      59      56
    3      60      23
    3      61      38
    3      62      45
    3      63      49
    3      64      55
    3      65      65
    3      66      65
    3      67      91
    3      68      64
    3      69      40
    3      70      69
    3      71      14
    3      72      85
    3      73      36
    3      74      17
    3      75      28
    3      76      16
    3      77      46
    3      78      87
    3      79      28
    3      80      92
    3      81      71
    3      82      57
    3      83      14
    3      84      23
    3      85       2
    3      86      72
    3      87      41
    3      88      51
    3      89      30
    3      90      55
    3      91      30
    3      92      77
    3      93      33
    3      94      43
    3      95      28
    3      96       9
    3      97      57
    3      98      17
    3      99      42
    3     100      71
    4       5      68
    4       6      29
    4       7      79
    4       8      42
    4       9      74
    4      10      79
    4      11      47
    4      12      88
    4      13      28
    4      14      27
    4      15      83
    4      16      90
    4      17      98
    4      18      42
    4      19       6
    4      20      66
    4      21      70
    4      22      10
    4      23       9
    4      24      40
    4      25      53
    4      26      81
    4      27       2
    4      28      14
    4      29      76
    4      30      27
    4      31      14
    4      32      66
    4      33      69
    4      34      93
    4      35       8
    4      36      90
    4      37      72
    4      38      28
    4      39      53
    4      40      33
    4      41      31
    4      42      94
    4      43      92
    4      44      87
